                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1587,                 2.1116,                 1.1627,                0.78034,                0.67299,                0.71322,                0.47272,                 1.1022,                 1.3643,                 1.1315,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.1921,                 1.3203,                 1.1878,                0.81419,                0.70979,                  0.779,                0.53539,                 1.1159,                 1.0047,                 1.1189,              0.0065315,              0.0065315,              0.0065315
                      3,                 1.3103,                  1.309,                 1.2567,                0.77993,                0.68598,                0.74106,                0.49325,                  1.214,                 1.1363,                 1.2098,              0.0096009,              0.0096009,              0.0096009
                      4,                 1.3498,                 1.2992,                 1.2893,                0.83797,                 0.7202,                0.79652,                0.54503,                  1.136,                 0.9589,                 1.1613,               0.009406,               0.009406,               0.009406
                      5,                 1.2493,                 1.1981,                 1.2503,                0.87084,                0.74967,                0.83391,                0.60425,                0.98301,                0.82202,                 1.0897,               0.009208,               0.009208,               0.009208
                      6,                 1.1833,                 1.0973,                 1.2092,                0.88126,                0.77129,                 0.8489,                0.61423,                0.96732,                 0.7967,                 1.0683,                0.00901,                0.00901,                0.00901
                      7,                 1.1267,                 1.0268,                 1.1831,                0.88487,                0.79675,                0.86411,                0.64457,                0.92099,                0.72494,                 1.0502,               0.008812,               0.008812,               0.008812
                      8,                 1.0928,                0.98769,                 1.1654,                0.88661,                0.79747,                0.86202,                0.64039,                0.92423,                0.71115,                 1.0469,               0.008614,               0.008614,               0.008614
                      9,                  1.078,                0.97209,                 1.1636,                 0.8892,                0.80676,                0.87603,                 0.6624,                0.88384,                0.69951,                 1.0362,               0.008416,               0.008416,               0.008416
                     10,                 1.0522,                0.94123,                 1.1468,                0.89315,                0.81977,                0.88278,                 0.6752,                 0.8238,                0.65465,                  1.011,               0.008218,               0.008218,               0.008218
                     11,                 1.0322,                0.91521,                 1.1366,                0.88867,                0.83148,                0.88932,                0.69046,                0.82053,                0.61799,                0.99659,                0.00802,                0.00802,                0.00802
                     12,                 1.0076,                0.90228,                 1.1278,                0.90277,                0.82413,                0.89487,                0.69941,                0.79053,                0.61053,                0.99359,               0.007822,               0.007822,               0.007822
                     13,                0.98842,                0.88444,                 1.1198,                0.91661,                0.82815,                0.90056,                 0.7097,                0.76759,                0.57896,                0.98084,               0.007624,               0.007624,               0.007624
                     14,                0.98001,                0.86528,                 1.1092,                 0.9154,                0.83842,                0.90847,                 0.7159,                0.77073,                 0.5716,                0.97766,               0.007426,               0.007426,               0.007426
                     15,                0.97806,                0.85639,                 1.1086,                0.90935,                0.83835,                0.90733,                0.72084,                0.74813,                 0.5585,                0.96565,               0.007228,               0.007228,               0.007228
                     16,                0.95959,                0.83858,                  1.103,                0.91784,                0.84705,                 0.9115,                0.72917,                0.73272,                0.54151,                0.96197,                0.00703,                0.00703,                0.00703
                     17,                0.94965,                0.82191,                 1.0967,                0.91289,                0.86119,                0.92001,                0.73447,                0.72705,                0.52683,                0.96131,               0.006832,               0.006832,               0.006832
                     18,                0.93598,                0.81517,                 1.0882,                0.91011,                0.86386,                0.92129,                0.74338,                 0.7118,                0.51262,                0.94825,               0.006634,               0.006634,               0.006634
                     19,                 0.9262,                0.80705,                 1.0877,                0.91916,                0.85667,                0.91907,                0.74446,                0.70354,                0.50358,                0.94304,               0.006436,               0.006436,               0.006436
                     20,                0.91738,                0.78946,                 1.0792,                0.92299,                0.86192,                0.92184,                0.74818,                0.69561,                0.49589,                0.93927,               0.006238,               0.006238,               0.006238
                     21,                0.90043,                0.77513,                 1.0698,                 0.9237,                0.86095,                 0.9253,                0.75485,                0.68129,                0.48705,                 0.9369,                0.00604,                0.00604,                0.00604
                     22,                0.89828,                0.77272,                 1.0717,                0.93032,                0.86725,                0.92936,                0.75961,                0.67503,                0.47598,                0.93111,               0.005842,               0.005842,               0.005842
                     23,                0.88764,                0.75891,                 1.0625,                0.93149,                0.86301,                0.93091,                0.75987,                0.66334,                0.47639,                0.92746,               0.005644,               0.005644,               0.005644
                     24,                 0.8792,                0.74779,                 1.0627,                0.92654,                 0.8647,                0.93106,                0.76337,                0.66485,                0.46825,                0.92664,               0.005446,               0.005446,               0.005446
                     25,                0.86993,                0.73742,                  1.053,                0.93729,                0.86943,                0.93481,                 0.7689,                0.65765,                0.45833,                0.92395,               0.005248,               0.005248,               0.005248
                     26,                0.86778,                0.74203,                 1.0531,                0.92456,                0.87524,                  0.935,                0.77177,                0.64177,                 0.4524,                0.91526,                0.00505,                0.00505,                0.00505
                     27,                0.86266,                0.72911,                 1.0527,                0.94159,                0.87082,                0.93824,                0.77573,                0.63915,                0.44265,                0.91214,               0.004852,               0.004852,               0.004852
                     28,                0.84759,                0.72217,                 1.0449,                0.94653,                0.86555,                0.93821,                0.77841,                0.62763,                0.43672,                0.90886,               0.004654,               0.004654,               0.004654
